x,y
14.9969,-23.1882
0.8712,16.2874
-1.5921,-28.1803
-0.594,-8.873
17.4127,-33.861
-46.962,-2.8373
-12.7544,-21.4302
-0.2804,-18.1556
16.739,-32.573
-15.1644,7.1931
1.7288,4.4153
16.0205,6.8603
-14.0751,-11.4114
-14.5252,-2.3326
-1.7995,-6.2186
16.749,-8.6791
49.7551,-3.2485
22.3407,-4.3526
23.6667,-18.5238
17.9886,8.7076
23.5486,-27.7664
18.3692,-14.7082
11.4807,0.9048
15.4073,-23.2587
0.8712,16.2874
-1.5054,-28.6238
-0.5928,-8.8746
17.5696,-34.0136
-46.962,-2.8373
-12.3126,-21.5765
0.1243,-18.3771
17.1358,-33.0725
-14.7208,7.0684
2.1871,4.3362
16.0258,6.861
-13.615,-11.5282
-14.0982,-2.5445
-1.4107,-6.3784
16.8355,-8.6417
49.7551,-3.2485
22.3477,-4.3533
24.2632,-18.4801
18.3658,8.727
23.795,-27.8268
18.3748,-14.709
11.9503,0.6962
15.9682,-23.3102
1.2831,16.1796
-1.4634,-28.8118
-0.5921,-8.8753
17.7212,-34
-46.962,-2.8373
-11.8613,-21.7176
0.5219,-18.5797
12.7415,-25.9685
-14.3069,6.9475
2.6461,4.2368
16.6499,6.935
-13.1545,-11.649
-13.6446,-2.7716
-1.0011,-6.5437
16.8703,-8.6271
49.7551,-3.2485
22.3504,-4.3536
24.5743,-18.46
18.5269,8.7326
23.9819,-27.9623
18.8018,-14.7311
12.4506,0.4272
16.5971,-23.45
1.4672,16.1351
-1.4442,-28.8884
-0.5918,-8.8756
17.7212,-34
-46.962,-2.8373
-11.6802,-21.7778
0.6807,-18.662
12.7415,-25.9685
-13.5786,6.7219
2.8006,4.2141
17.5189,7.0666
-12.4718,-11.8393
-13.4228,-2.8881
-0.8374,-6.61
16.8843,-8.6213
49.7551,-3.2485
22.2798,-4.8902
24.727,-18.4511
18.5985,8.7344
23.7491,-28.3581
18.9671,-14.7282
12.6219,0.3142
16.8682,-23.5286
1.5376,16.1133
-1.4348,-28.9207
-0.5917,-8.8757
17.7212,-34
-46.962,-2.8373
-11.029,-21.8237
0.7726,-19.259
12.239,-26.3027
-12.6847,6.4963
2.8491,4.2059
17.8576,7.1395
-11.6938,-12.0451
-12.8787,-2.9854
-0.6332,-7.0949
17.037,-9.2256
49.7551,-3.2485
22.1433,-5.5899
24.6022,-18.7722
18.9455,8.427
23.2948,-28.8095
19.036,-14.7283
12.6826,0.2804
16.9929,-23.5651
1.1071,15.9997
-1.8482,-29.1722
-0.8647,-9.2108
17.7212,-34
-46.962,-2.8373
-10.1109,-21.906
0.8093,-19.4994
11.7597,-26.6677
-11.7562,6.2883
3.4575,4.0884
18.0004,7.1704
-10.8386,-12.2557
-12.1066,-3.0491
